Coin, Tot. vol,Curr Invs Amt, Avg Price,Avg 4 Price ,Tgt %,Tgt Sell amt,Tgt Last Sell amt,Curr Mkt Price, Curr Port. Amt,Realised Gain,Gain in Port.,Net Profit/loss,Gain Realised %,Gain in Port. %,Profit %,StablizeCount,StablizeRate
BCN,1033.965,9.763569,0.009442842842842844,0.009442842842842844,25.0,0.011803553553553555,0.011803553553553555,0.006387,6.603934455,0.0,-3.1596345450000003,-3.1596345450000003,0.0,-32.361470943668245,-32.361470943668245,0.0,0.0
BTS,27.972,7.8064,0.2790790790790791,0.2790790790790791,25.0,0.34884884884884887,0.34884884884884887,0.229014,6.405979608,0.0,-1.400420392000001,-1.400420392000001,0.0,-17.939388091822106,-17.939388091822106,0.0,0.0
CHAT,0.9339999999999975,0.12394694214214219,0.1327055055055055,0.1327055055055055,25.0,0.16588188188188188,0.16588188188188188,0.083107,0.0776219379999998,0.08154214214214228,-0.04632500414214201,0.03521713800000027,0.9319309859591642,-0.5294404298269832,0.4024905561321811,0.0,0.0
DNT,107.892,11.1078,0.10295295295295295,0.10295295295295295,25.0,0.12869119119119118,0.12869119119119118,0.063951,6.899801291999999,0.0,-4.207998708,-4.207998708,0.0,-37.88327758872144,-37.88327758872144,0.0,0.0
ICX,3.6063899999999998,15.440691999999999,4.281481481481482,4.281481481481482,25.0,5.351851851851852,5.351851851851852,2.8,10.097891999999998,0.0,-5.342800000000002,-5.342800000000002,0.0,-34.602076124567496,-34.602076124567496,0.0,0.0
IOST,59.81999999999999,3.399979579579579,0.05683683683683684,0.05683683683683684,25.0,0.07104604604604604,0.07104604604604604,0.04616,2.7612911999999996,0.07477957957957937,-0.6386883795795795,-0.5639088000000001,0.731669793546039,-6.249152475241472,-5.517482681695434,0.0,0.0
KMD,0.004669999999999952,0.015456157357355949,3.30966966966967,3.30966966966967,25.0,4.137087087087087,4.137087087087087,2.63,0.012282099999999874,1.771189357357354,-0.0031740573573573252,1.7680152999999967,10.050499508953397,-0.01801098328589009,10.032488525667507,0.0,0.0
MANA,60.939,10.37,0.17017017017017017,0.17017017017017017,25.0,0.21271271271271272,0.21271271271271272,0.104413,6.362823807000001,0.0,-4.0071761929999985,-4.0071761929999985,0.0,-38.64200764705881,-38.64200764705881,0.0,0.0
ONT,0.008639999999999981,0.06533292972972937,7.561681681681683,7.561681681681683,25.0,9.452102102102103,9.452102102102103,7.69,0.06644159999999985,0.8077297297297292,0.0011086702702702567,0.8088383999999995,7.8621853891508,0.010791445305871424,7.872976834456671,0.0,0.0
SNT,72.927,9.340933999999999,0.12808608608608607,0.12808608608608607,25.0,0.1601076076076076,0.1601076076076076,0.10335,7.5370054500000006,0.0,-1.8039285499999984,-1.8039285499999984,0.0,-19.312078963409853,-19.312078963409853,0.0,0.0
STORM,111.888,7.2359616,0.06467147147147147,0.06467147147147147,25.0,0.08083933933933933,0.08083933933933933,0.034074,3.8124717120000002,0.0,-3.4234898879999993,-3.4234898879999993,0.0,-47.31216218726201,-47.31216218726201,0.0,0.0
SUB,43.948,31.432286738276737,0.7152154077154077,0.6933445072979957,25.0,0.8940192596442597,0.8666806341224946,0.439531,19.316508388,1.4838831382767381,-12.115778350276738,-10.631895212,3.993870751169896,-32.609611587757925,-28.615740836588028,0.0,0.0
VEN,1.998,9.6202,4.814914914914915,4.814914914914915,25.0,6.018643643643644,6.018643643643644,3.77,7.53246,0.0,-2.08774,-2.08774,0.0,-21.701627824785348,-21.701627824785348,0.0,0.0
XVG,268.62399999999997,18.914605755781313,0.07041294060017465,0.07080928092271377,25.0,0.08801617575021832,0.08851160115339221,0.041257,11.082620367999999,1.1970153557813132,-7.831985387781314,-6.634970032000001,4.525784875898571,-29.611884964619456,-25.086100088720887,0.0,0.0

,,Total Buy Amt,Total Sell amt,Tot. Comm amt,Tot. Invs amt,Tot Gain Port.,Tot Gain Realized,Tot. Net Gain %,Gain amt in Mkt
,,0.21791442000000003,0.06459162371999999,0.2630160384,134.63716470286684,-46.06803078486686,5.416139302866856,-0.11757157333448277,-34665.362835297135
