Coin, Tot. vol,Curr Invs Amt, Avg Price,Avg 4 Price ,Tgt %,Tgt Sell amt,Tgt Last Sell amt,Curr Mkt Price, Curr Port. Amt,Realised Gain,Gain in Port.,Net Profit/loss,Gain Realised %,Gain in Port. %,Profit %,StablizeCount,StablizeRate
AE,5.0,974.1217892156874,194.82435784313725,270.0,10.0,214.306793627451,297.0,272.039612,1360.19806,820.5246892156865,386.0762707843137,1206.6009600000002,8.258063608935302,3.8856142221447745,12.143677831080078,-1.4191913741749997,349.2548661568627
AION,7.5,1339.1676384083046,178.55568512110727,210.0,10.0,196.411253633218,231.0,187.70733227999997,1407.8049920999997,352.0370584083046,68.63735369169513,420.6744120999997,11.370134649638782,2.216857387111507,13.586992036750287,-0.36566154799595096,196.85897943889267
BAT,53.0,1120.199408325455,21.135837892933115,24.5,20.0,25.363005471519738,29.4,25.428970741602996,1347.7354493049588,439.8479020754544,227.5360409795037,667.3839430549581,9.837166584172842,5.088827134236466,14.925993718409309,-8.947906043528691,29.722103590272877
BCH,0.026999999999999996,2093.457434210526,77535.46052631579,87722.22222222222,5.0,81412.23355263157,92108.33333333333,85529.93411182999,2309.3082210194093,-247.06381578947367,215.85078680888319,-31.21302898059048,-5.590284599026957,4.884030975275505,-0.7062536237514523,-0.002523687046533431,93524.4076973442
BTC,0.003,1810.515,603505.0,602000.0,5.0,633680.25,632100.0,589707.0679227,1769.1212037681,0.0,-41.39379623190007,-41.39379623190007,0.0,-2.2862995463666453,-2.2862995463666453,7.019382755189574E-5,575909.1358453999
EOS,3.1999999999999993,1789.3140999999996,559.1606562500001,846.5217391304349,10.0,615.0767218750001,931.1739130434784,908.6123040799998,2907.559373055999,105.55769999999939,1118.2452730559992,1223.8029730559986,1.4748346866545032,15.623937589493078,17.098772276147585,-1.2307177308018735,1258.0639519099996
ETH,0.0,2.2737367544323206E-13,39989.734624,39890.0096,5.0,41989.221355199996,41884.51008,49817.253947499994,0.0,114.11326880000001,0.0,114.11326880000001,5.707128085391918,0.0,5.707128085391918,0.0,59644.77327099999
GAS,2.0599999999999996,3090.66699908182,1500.3237859620488,1667.9551282051282,5.0,1575.3399752601513,1751.3528846153845,1698.88737694,3499.707996496399,495.1301240818193,409.0409974145791,904.1711214963984,6.73363626051024,5.562847337018292,12.296483597528532,-0.24076993152502854,1897.4509679179512
GNT,35.0,887.1087931034481,25.34596551724138,37.5,20.0,30.415158620689652,45.0,38.983684459017994,1364.4289560656298,3164.7537931034485,477.3201629621816,3642.0739560656302,43.05594161219222,6.493860315961074,49.5498019281533,-12.244100822844732,52.621403400794605
LTC,0.44000000000000017,4122.298267777778,9368.85969949495,9830.087689243028,5.0,9837.302684469696,10321.592073705178,9618.64058129,4232.201855767601,488.1262242777775,109.90358798982197,598.0298122675995,3.7590852493908598,0.8463732041419,4.605458453532759,-0.011426104038402723,9868.42146308505
NCASH,1000.0,2647.955,2.647955,2.6433333333333335,25.0,3.30994375,3.304166666666667,2.37082521858,2370.8252185799997,-273.97749999999996,-277.1297814200002,-551.1072814200002,-6.897838772436339,-6.977202694658084,-13.875041467094423,116.89169629551454,2.0936954371599996
NEO,0.625,2515.9417991329483,4025.5068786127167,4972.612,5.0,4226.782222543353,5221.2426000000005,4281.223393849999,2675.7646211562496,747.5636491329487,159.8228220233018,907.3864711562505,10.734492060059226,2.2949441375530046,13.029436197612231,-0.03733111013382019,4536.939909087282
OMG,2.0,1692.6324551724138,846.316227586207,925.0,10.0,930.9478503448277,1017.5,907.2521060199999,1814.5042120399999,100.32580517241331,121.87175686758587,222.19756203999918,1.6350911918839584,1.9862430792472408,3.6213342711311993,-0.13433064090886693,968.1879844537929
ONT,8.0,4696.53425,587.06678125,544.0,10.0,645.7734593749999,598.4,528.4369463099999,4227.4955704799995,0.0,-469.0386795200002,-469.0386795200002,0.0,-9.98691065693815,-9.98691065693815,0.887596302255606,469.8071113699999
POLY,10.0,624.936,62.4936,62.4,15.0,71.86764,71.75999999999999,70.73029912,707.3029912,0.0,82.36699119999992,82.36699119999992,0.0,13.180068230986839,13.180068230986839,-1.1645220255644229,78.96699824
REQ,137.0,1699.6394784398035,12.40612757985258,14.5,20.0,14.887353095823096,17.4,13.414681327137998,1837.8113418179057,507.4345534398035,138.17186337810222,645.6064168179057,10.049614084206903,2.73645910557885,12.786073189785752,-10.300048134470368,14.423235074423417
TRX,1570.0,4723.1785,3.008393949044586,3.3458823529411763,25.0,3.760492436305732,4.18235294117647,4.941735571786,7758.52484770402,0.0,3035.3463477040204,3035.3463477040204,0.0,64.2649086352341,64.2649086352341,-614.22678401366,6.875077194527415
XLM,97.0,1697.6133933943092,17.50116900406504,23.66,20.0,21.001402804878047,28.392,22.998092778674,2230.814999531378,82.24281839430887,533.2016061370689,615.4444245313778,1.9102746787898104,12.38480814227767,14.295082821067481,-23.184601056636474,28.49501655328296
XRB,1.5,574.7216826923077,383.1477884615384,373.8333333333333,10.0,421.46256730769227,411.21666666666664,401.93852673,602.907790095,1003.8004326923083,28.1861074026923,1031.9865400950007,20.1529071091479,0.5658814100442223,20.718788519192124,-0.07012541851114006,420.72926499846153
XRP,52.05,1883.0837477283053,36.17836210813267,40.26333558406482,20.0,43.4140345297592,48.31600270087778,48.01689579528399,2499.2794261445315,547.135997728305,616.1956784162262,1163.3316761445312,13.742202412345192,15.47674759761119,29.21895000995638,-12.832892843455037,59.85542948243532
ZCO,85.0,971.455,11.428882352941176,11.411764705882353,20.0,13.714658823529412,13.694117647058825,10.393681435877998,883.4629220496298,0.0,-87.99207795037023,-87.99207795037023,0.0,-9.05776159990635,-9.05776159990635,8.465920231750607,9.358480518814819
ZRX,0.0,0.0,65.71032454340495,77.644,15.0,75.5668732249157,89.29060000000001,102.69495352999999,0.0,501.0019493,0.0,501.0019493,7.2225401611355045,0.0,7.2225401611355045,0.0,139.67958251659502

,,Total Buy Amt,Total Sell amt,Tot. Comm amt,Tot. Invs amt,Tot Gain Port.,Tot Gain Realized,Tot. Net Gain %,Gain amt in Mkt
,,113920.45213605001,81914.4660494,425.38256665,40954.540736683106,6852.219311693705,8948.554650033104,44.1821591812552,6154.540736683106
