Coin, Tot. vol,Curr Invs Amt, Avg Price,Avg 4 Price ,Tgt %,Tgt Sell amt,Tgt Last Sell amt,Curr Mkt Price, Curr Port. Amt,Realised Gain,Gain in Port.,Net Profit/loss,Gain Realised %,Gain in Port. %,Profit %,StablizeCount,StablizeRate
AE,5.0,974.1217892156874,194.82435784313725,270.0,10.0,214.306793627451,297.0,241.37489291999998,1206.8744646,820.5246892156865,232.75267538431376,1053.2773646000003,8.258063608935302,2.3425089137912405,10.600572522726544,-0.9642787307686391,287.9254279968627
AION,7.5,1339.1676384083046,178.55568512110727,210.0,10.0,196.411253633218,231.0,165.00769515999997,1237.5577136999998,352.0370584083046,-101.60992470830479,250.42713369999979,11.370134649638782,-3.281809395001552,8.08832525463723,0.615789006747707,151.45970519889266
BAT,53.0,1120.199408325455,21.135837892933115,24.5,20.0,25.363005471519738,29.4,21.912885547251996,1161.3829340043558,439.8479020754544,41.18352567890065,481.03142775435504,9.837166584172842,0.9210665794136427,10.758233163586485,-1.8794204711239093,22.689933201570877
BCH,0.026999999999999996,2093.457434210526,77535.46052631579,87722.22222222222,5.0,81412.23355263157,92108.33333333333,79546.66421674,2147.7599338519794,-247.06381578947367,54.30249964145332,-192.76131614802034,-5.590284599026957,1.2286964259183804,-4.3615881731085775,-6.826496142376988E-4,81557.86790716421
BTC,0.003,1810.515,603505.0,602000.0,5.0,633680.25,632100.0,572334.6454622999,1717.0039363868998,0.0,-93.5110636131003,-93.5110636131003,0.0,-5.164887538247422,-5.164887538247422,1.633852927731944E-4,541164.2909245999
EOS,3.1999999999999993,1789.3140999999996,559.1606562500001,846.5217391304349,10.0,615.0767218750001,931.1739130434784,890.4960738799999,2849.587436415999,105.55769999999939,1060.2733364159992,1165.8310364159986,1.4748346866545032,14.81396330046244,16.288797987116943,-1.1906547008076735,1221.8314915099998
ETH,0.0,2.2737367544323206E-13,39989.734624,39890.0096,5.0,41989.221355199996,41884.51008,46452.39358745999,0.0,114.11326880000001,0.0,114.11326880000001,5.707128085391918,0.0,5.707128085391918,0.0,52915.05255091999
GAS,2.0599999999999996,3090.66699908182,1500.3237859620488,1667.9551282051282,5.0,1575.3399752601513,1751.3528846153845,1500.75180598,3091.5487203187995,495.1301240818193,0.8817212369795016,496.0118453187988,6.73363626051024,0.011991171217863536,6.745627431728103,-5.875196907750728E-4,1501.1798259979512
GNT,35.0,887.1087931034481,25.34596551724138,37.5,20.0,30.415158620689652,45.0,36.221234637559995,1267.7432123145998,3164.7537931034485,380.63441921115157,3545.3882123146,43.05594161219222,5.178467078500579,48.234408690692796,-10.508598699627115,47.09650375787861
LTC,0.44000000000000017,4122.298267777778,9368.85969949495,9830.087689243028,5.0,9837.302684469696,10321.592073705178,9105.424632919998,4006.3868384848006,488.1262242777775,-115.91142929297848,372.214794984799,3.7590852493908598,-0.8926399001318391,2.866445349259021,0.012729931218573725,8841.989566345046
NCASH,1000.0,2647.955,2.647955,2.6433333333333335,25.0,3.30994375,3.304166666666667,2.0011615063019996,2001.1615063019997,-273.97749999999996,-646.7934936980002,-920.7709936980002,-6.897838772436339,-16.28410084254957,-23.18193961498591,323.20904217932286,1.3543680126039992
NEO,0.625,2515.9417991329483,4025.5068786127167,4972.612,5.0,4226.782222543353,5221.2426000000005,4049.5070312199996,2530.9418945125,747.5636491329487,15.000095379552022,762.5637445125008,10.734492060059226,0.21539089673325773,10.949882956792484,-0.0037041781293148976,4073.5071838272825
OMG,2.0,1692.6324551724138,846.316227586207,925.0,10.0,930.9478503448277,1017.5,821.6292258999999,1643.2584517999999,100.32580517241331,-49.37400337241411,50.9518017999992,1.6350911918839584,-0.8046882642361473,0.8304029276478109,0.06009280319639383,796.9422242137929
ONT,8.0,4696.53425,587.06678125,544.0,10.0,645.7734593749999,598.4,500.4778853199999,4003.8230825599994,0.0,-692.7111674400003,-692.7111674400003,0.0,-14.749411599415044,-14.749411599415044,1.384099453259735,413.8889893899999
POLY,10.0,624.936,62.4936,62.4,15.0,71.86764,71.75999999999999,62.236538774479996,622.3653877447999,0.0,-2.5706122552001034,-2.5706122552001034,0.0,-0.4113400820564191,-0.4113400820564191,0.04130390773360583,61.97947754895999
REQ,137.0,1699.6394784398035,12.40612757985258,14.5,20.0,14.887353095823096,17.4,12.007037222809998,1644.9640995249697,507.4345534398035,-54.6753789148338,452.7591745249697,10.049614084206903,-1.082832168753848,8.966781915453053,4.55361117819856,11.607946865767417
TRX,1570.0,4723.1785,3.008393949044586,3.3458823529411763,25.0,3.760492436305732,4.18235294117647,5.353136007981999,8404.423532531739,0.0,3681.2450325317386,3681.2450325317386,0.0,77.93999385227,77.93999385227,-687.6800864096629,7.6978780669194125
XLM,97.0,1697.6133933943092,17.50116900406504,23.66,20.0,21.001402804878047,28.392,21.46259182046,2081.8714065846198,82.24281839430887,384.25801319031075,466.5008315846196,1.9102746787898104,8.925257755640418,10.835532434430228,-17.903616506558297,25.424014636854956
XRB,1.5,574.7216826923077,383.1477884615384,373.8333333333333,10.0,421.46256730769227,411.21666666666664,357.97123949999997,536.95685925,1003.8004326923083,-37.764823442307716,966.0356092500006,20.1529071091479,-0.7581895305473404,19.39471757860056,0.10549680889184317,332.7946905384615
XRP,52.05,1883.0837477283053,36.17836210813267,40.26333558406482,20.0,43.4140345297592,48.31600270087778,46.026987384937996,2395.7046933860224,547.135997728305,512.6209456577171,1059.7569433860222,13.742202412345192,12.875301251032486,26.61750366337768,-11.137399486316776,55.875612661743325
