XRP,10,56.30
XLM,10,24.15
OMG,10,1009.99
AION,10,259.99
EOS,10,750.90
BAT,10,27.15
GAS,10,1650.03
REQ,10,15.44
NEO,10,4840
TRX,100,3.45
NCASH,100,2.81
LTC,10,9650
XRB,10,453
AE,10,126
GNT,10,45.50
BCH,10,83750
ETH,10,40910
ZRX,10,65.89
